drug,mu0,s_mu0,sigma0,log_sigma0,log_s_sigma0,adr
Pro,67.46230481803345,19.490182557579,8.972380618873697,2.1941510387266683,0.7868441010947592,0.6633968492458033
Lid,60.959247439898725,14.753966024217265,11.333496089124337,2.427762596650025,0.51683852025459,0.6633968492458033
Mep,50.45189922564806,14.467863021428176,11.101705960341729,2.407098786630048,0.6477554831541725,0.6633968492458033
Bup,29.348154799803527,25.95216993422761,12.129968550770116,2.4956791302708266,0.8340451960071159,0.6633968492458033
