drug,ID,Mean,Sigma
Lid,43,59.09026831479033,5.0663598769891705
Lid,44,74.10968942447522,8.393194952344489
Lid,45,42.87942648821969,16.77454455906551
Lid,46,65.7913797227252,10.465126072562652
Lid,47,61.562504479649434,16.39816470627132
Lid,48,73.1147429271125,6.273432871702301
Lid,49,82.2568582200182,7.2095080698213705
Lid,50,62.73750540263973,7.199989188555052
Lid,51,73.77121321958046,8.783781344167235
Mep,1,52.03475154869025,13.899616674921702
Mep,2,51.47005879821016,18.31843002535796
Mep,3,39.84039463416292,32.77534116226806
Mep,4,34.819686084315265,15.768490799013485
Mep,5,39.895628084043736,5.875682656933131
Mep,6,78.82890435843753,8.429570218945354
Mep,7,60.67235945912995,18.33204275076656
Mep,8,54.777277629120164,19.239004619647105
Mep,9,11.077148289365478,6.405289164308368
Mep,10,47.43616942744444,10.82382652587263
Mep,11,29.328746191190746,10.027142135562716
Mep,12,45.24942369934191,7.531337392360938
Mep,13,43.1963790491271,20.21590318953917
Mep,14,28.87942850236119,5.664480677132327
Mep,15,48.38815209978969,10.103445298441788
Mep,16,50.704836980466986,7.368712134819745
Mep,17,42.44382739328696,21.450694358124437
Mep,18,36.590104225288826,9.437450261270609
Mep,19,32.61128205693885,15.648387243382404
Mep,20,56.55038625311347,23.350737113341033
Mep,21,71.4630900133291,14.051778577217668
Mep,22,40.66158489873156,16.4011181026037
Mep,23,34.23784790658416,26.459150366765495
Mep,24,49.058207948231455,4.952658183309488
Mep,25,53.6081138902398,10.652239553963854
Mep,26,49.426886173436316,11.861025634872805
Mep,27,51.95379739684223,53.057251573787624
Mep,28,38.909112663185766,10.045774140342072
Mep,29,67.38995971445682,16.682806967952175
Mep,30,65.78847100673346,37.80065923576374
Mep,31,75.56147583530566,6.3487030815730545
Mep,32,75.59008802349665,8.196656668429243
Mep,33,65.61396156961213,16.66204104456147
Mep,34,61.49584780729925,3.4936952452207746
Mep,35,55.87431330889096,7.014624632019109
Mep,36,44.1470585646774,5.575778723829842
Mep,37,67.41600273901628,19.271849359101413
Mep,38,68.06486107038542,5.393871250904915
Mep,39,45.07168068838981,3.8757733056374533
Mep,40,43.11853893800751,8.866418764980983
Mep,41,53.706950721547614,15.06914007773736
Mep,42,69.74613662565824,17.443617235378724
Mep,43,36.82106465852003,8.838852873048271
Mep,44,55.2960139501139,10.080785724551193
Mep,45,35.94794185645779,13.277646686984134
Mep,46,61.5117193545088,6.722788357067846
Mep,47,43.822943402087574,8.53990498333523
Mep,48,50.98822424531502,9.531294258709268
Mep,49,68.716543962103,8.44310655570797
Mep,50,34.17600525313499,18.019009805773155
Mep,51,52.70051361296543,7.798734070218264
Bup,1,43.281190257776885,8.023207566667292
Bup,2,46.14119008708846,7.1573953474489445
Bup,3,10.449644557221006,30.35100020768333
Bup,4,-9.535516506770488,32.66672859830117
Bup,5,15.097262410899162,3.4529350031785477
Bup,6,1.915653870917174,50.77066923141215
Bup,7,-13.598188322827285,21.8618461163735
Bup,8,5.0989703810970575,35.879884411757516
Bup,9,-20.17925295195039,8.147593909359474
Bup,10,25.494952170706085,13.984190571615079
Bup,11,20.42548271449358,17.073807041298682
Bup,12,-14.51904173239683,31.33614104168302
Bup,13,30.77283398079524,11.907352443114393
Bup,14,14.91747116153404,8.877869877589307
Bup,15,-20.42396065965395,8.274682983856762
Bup,16,16.758674014005596,21.395464609316985
Bup,17,24.061799401370244,11.161567500380492
Bup,18,38.06146887664651,10.558392046522403
Bup,19,32.46653125857628,14.5696089362982
Bup,20,47.57239739294799,18.367629632627807
Bup,21,40.16688459830351,20.077364118974184
Bup,22,3.7072508288021755,15.857625023471964
Bup,23,39.60527528983803,17.873233620478665
Bup,24,15.122519647946689,3.4251888294593735
Bup,25,66.95843434218632,18.960403672015964
Bup,26,53.11391522233637,7.505700526003697
Bup,27,29.454545101708412,59.97195281344116
Bup,28,20.071802088586395,5.610974504982838
Bup,29,70.36792200219504,19.33488466722532
Bup,30,66.09243349688877,19.332884433964455
Bup,31,59.955255513217665,11.352225215358242
Bup,32,78.13549033072954,4.2989284266296535
Bup,33,59.88328194098399,14.5142713363104
Bup,34,64.1625678983248,3.2287832489681256
Bup,35,7.26493002076163,16.13893735243472
Bup,36,35.44598703166177,9.23632085296742
Bup,37,-11.881883379633255,74.01202621384577
Bup,38,16.724155616524367,4.298691814431437
Bup,39,3.19165566467564,3.4400762096664677
Bup,40,22.864442887878834,10.190440765334872
Bup,41,38.6740072466639,10.874842869498735
Bup,42,66.6794554500134,18.348367510670073
Bup,43,25.80776712580486,11.316979396175151
Bup,44,49.68085964174958,19.125362819023373
Bup,45,23.567283009014787,20.512157961045418
Bup,46,42.74533340071612,12.61807715834571
Bup,47,37.676053169083474,9.153722360120408
Bup,48,45.03139845900639,6.178630013340576
Bup,49,44.57291919363285,11.529543595851525
Bup,50,6.577356192236641,4.590936405998071
Bup,51,44.898846963962605,18.74290782027858
