drug,ID,Mean,Sigma
Pro,1,80.81432939390817,10.429560122028253
Pro,2,57.76478894970454,6.782823335014583
Pro,3,-11.884081601122016,44.88799902515788
Pro,4,62.386203992615314,9.732727178238523
Pro,5,55.10233433336959,3.2526608495367224
Pro,6,92.58912201638594,2.478721405928396
Pro,7,42.61629425816634,13.911074245401071
Pro,8,71.02648737677613,26.806577779204936
Pro,9,97.00932354214976,24.016565153104615
Pro,10,50.16130774866168,12.969538473625956
Pro,11,76.51036157651897,10.321856667517952
Pro,12,51.57877743322511,9.964603330560958
Pro,13,44.70448605614603,16.37162368587366
Pro,14,72.49924910218003,11.48550718918275
Pro,15,64.27772019642553,3.128589413523733
Pro,16,72.20319907282396,20.749874143455788
Pro,17,72.3274929708063,9.326448176617848
Pro,18,53.829403596168916,15.01447839594999
Pro,19,61.13825896600932,20.24415911917986
Pro,20,69.91152256304035,13.436178386710898
Pro,21,78.53862318536189,10.515056937576992
Pro,22,36.39755146892072,10.013521577578356
Pro,23,67.48979681313493,4.645716153134767
Pro,24,78.97595820067191,5.932535496854757
Pro,25,82.60186191213765,7.896808386081092
Pro,26,83.5432891604689,12.830734097017052
Pro,27,91.73609348680603,23.52717340479019
Pro,28,51.81205331700444,13.050718205312519
Pro,29,75.91671651264687,7.115314382840231
Pro,30,103.85877749523141,14.515924344941146
Pro,31,83.24914215269482,5.09396521875748
Pro,32,88.37230430689168,4.387199758678548
Pro,33,79.71857413966981,9.58226329722837
Pro,34,74.87852177854626,10.310585683011567
Pro,35,62.294132095775524,12.052784222346249
Pro,36,44.532934105893176,14.292803126362596
Pro,37,69.2868602426026,3.174386809238655
Pro,38,54.82857012864328,15.136081561199866
Pro,39,53.530308105859746,2.892034983578699
Pro,40,84.7499415971053,4.615512671940622
Pro,41,64.44032221846042,18.78310636625282
Pro,42,93.57903335201453,15.915704996502885
Pro,43,81.146787208875793,7.054040915131202
Pro,44,67.660329611533,7.3394713218389365
Pro,45,36.87513073632533,20.85885701781436
Pro,46,84.12365533599069,3.196485604265126
Pro,47,65.80374972447568,5.354093186938591
Pro,48,86.49259147923381,2.9054332523030157
Pro,49,60.95257000984779,3.156694302390387
Pro,50,64.33483518692037,8.301003385084996
Pro,51,59.598835845039744,22.005337476185165
Lid,1,63.866221090360874,9.17710047904813
Lid,2,68.09271515299015,7.414324842979209
Lid,3,10.326382428001649,32.15115081475162
Lid,4,65.78679389538709,6.344524160675183
Lid,5,71.76165804048955,5.372090874398851
Lid,6,80.62842604100899,11.980638416137213
Lid,7,33.56918146938998,29.140251737656193
Lid,8,59.684121258438864,18.367446043300927
Lid,9,30.913577993136933,14.908949568639619
Lid,10,58.80950252151285,10.87812907012706
Lid,11,42.94820110703604,9.739673890394906
Lid,12,46.643825447119525,13.786178933526443
Lid,13,50.227390029557,23.866014557846224
Lid,14,47.69200919998158,14.505710239611982
Lid,15,67.69082576984898,7.1987158406119045
Lid,16,35.90455753454759,19.21654373460374
Lid,17,60.62948384210026,10.050878515914663
Lid,18,55.15010376808206,17.310846223835654
Lid,19,52.1410448321715,25.202251902039915
Lid,20,71.74734132509144,13.729583439746753
Lid,21,65.94682267437967,10.824304880889173
Lid,22,35.86545724434066,11.828137640295296
Lid,23,70.59129074052052,14.256835383788543
Lid,24,68.93841380671223,8.27686053078537
Lid,25,76.45091216514732,10.50353940478255
Lid,26,68.70085931653118,14.163289307494319
Lid,27,74.53388202954741,28.072223227873565
Lid,28,62.351073178606335,5.02658149424002
Lid,29,78.94785449976972,8.722367570303616
Lid,30,68.40245572185347,16.629357429917892
Lid,31,73.99368886033011,12.602273300610884
Lid,32,69.5271498974025,11.58571556739836
Lid,33,68.90679956719424,18.316952254302258
Lid,34,70.08281854401558,13.301844479885569
Lid,35,52.29539827831969,7.788541144513697
Lid,36,55.96208548847418,5.650159238621775
Lid,37,70.45126288206146,18.040253252566004
Lid,38,56.9006082965951,13.289678147075607
Lid,39,64.52022048743976,6.108867509222418
Lid,40,63.47757167683249,10.53823007074826
Lid,41,55.15957287098494,6.855997808719657
Lid,42,81.40729312465476,11.051197507391901
Lid,43,59.059493648738496,5.144532578713305
Lid,44,74.16337569328765,8.44480311333634
Lid,45,42.61834193042412,16.881793024881038
Lid,46,66.20718264435618,10.291256848335166
Lid,47,61.57597833536345,16.446223544854508
Lid,48,73.21412094241323,6.29184031956975
Lid,49,82.26782735469314,7.190735360327572
Lid,50,62.43214343280529,7.4318960799835985
Lid,51,73.74529807602458,8.84362432993452
Mep,1,52.178097565977424,13.936205620623582
Mep,2,51.78102191864386,18.157246383084576
Mep,3,31.45186837676229,37.82153377900455
Mep,4,35.09534715381628,15.754489419772002
Mep,5,40.118573201928406,5.776538049703024
Mep,6,79.03176926913937,8.38786464460651
Mep,7,59.01204763911326,18.60283523004605
Mep,8,54.62685513587493,19.359395258006657
Mep,9,10.465131456894246,6.3906664217031866
Mep,10,47.24006823454784,10.904130478052476
Mep,11,28.834009659520884,10.165113193375914
Mep,12,44.829512096702665,7.683057666443378
Mep,13,42.329865351141024,20.490629364281077
Mep,14,28.601676320217656,5.775005012701707
Mep,15,48.45481529644114,10.008928620902143
Mep,16,50.22559891316014,7.38893840080784
Mep,17,42.659789923787145,21.34185755768012
Mep,18,36.54660826407082,9.438234092164663
Mep,19,32.40455748881929,15.705668791572435
Mep,20,57.08800749946487,23.12811583241664
Mep,21,71.33289792824975,14.18525362037674
Mep,22,39.28586986602323,16.745845209818555
Mep,23,35.49842432361455,26.003281410350013
Mep,24,49.18868953789519,4.991241973402111
Mep,25,54.126670559356704,10.56275153268958
Mep,26,49.71411121312461,11.823445903456228
Mep,27,55.58616527200278,51.94130275562331
Mep,28,38.98420625375374,9.957354729882212
Mep,29,68.0615122820074,16.753279251399952
Mep,30,67.0904920156895,37.625421482322416
Mep,31,75.75038284094431,6.36623008219539
Mep,32,75.7441394910962,8.232449201603728
Mep,33,65.96870606125914,16.50788198505736
Mep,34,61.611716735599806,3.5189320655861396
Mep,35,55.6930997766696,6.962067071471438
Mep,36,44.07657938927035,5.589116125144348
Mep,37,67.54527367955832,19.201644087798947
Mep,38,67.85005213128622,5.394980562935306
Mep,39,45.09002188937002,3.8143358495241375
Mep,40,43.256905227887756,8.927006740404533
Mep,41,53.32233435267484,15.0746985937938
Mep,42,70.79020027446663,17.417337352560462
Mep,43,36.81237940918713,8.762484969120106
Mep,44,55.62798902157802,10.084691282311764
Mep,45,35.36632529592272,13.188158740482702
Mep,46,61.47625106762903,6.683285842713881
